top - 17:49:06 up  2:22,  1 user,  load average: 1,03, 0,33, 0,10
Tareas: 412 total,   1 ejecutar,  411 hibernar,    0 detener,    0 zombie
%Cpu(s):  4,0 us,  1,3 sy,  0,0 ni, 94,0 id,  0,7 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :  31453,3 total,  22974,8 libre,   5227,1 usado,   3744,6 búf/caché    
MiB Intercambio:   2048,0 total,   2048,0 libre,      0,0 usado.  26226,1 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
 107281 dam       20   0   17228   5760   3584 R   9,1   0,0   0:00.02 top
   1175 avahi     20   0    8784   4224   3840 S   0,0   0,0   0:00.47 avahi-d+
   1177 message+  20   0   12044   6272   4224 S   0,0   0,0   0:00.63 dbus-da+
   1181 root      20   0    5428   3456   3200 S   0,0   0,0   0:00.00 fsidd
   1185 root      20   0   83016   4096   3712 S   0,0   0,0   0:00.50 irqbala+
   1207 polkitd   20   0  385176  10624   7544 S   0,0   0,0   0:00.38 polkitd
   1208 root      20   0  316380   7296   6784 S   0,0   0,0   0:00.02 power-p+
   1214 prometh+  20   0 1611376  15232  12672 S   0,0   0,0   0:00.02 prometh+
   1217 root      20   0   12560   6912   5248 S   0,0   0,0   0:00.03 smartd
   1226 root      20   0  312468   6784   6272 S   0,0   0,0   0:00.02 switche+
   1227 root      20   0   18144   8764   7680 S   0,0   0,0   0:00.13 systemd+
   1230 root      20   0   17540   7552   6784 S   0,0   0,0   0:00.07 systemd+
   1234 root      20   0  258812  14208  12288 S   0,0   0,0   0:02.36 touchegg
   1237 root      20   0  469452  14312  11112 S   0,0   0,0   0:01.28 udisksd
   1246 root      20   0   76492  14208  12544 S   0,0   0,0   0:00.01 virtloc+
   1247 root      20   0   76496  14208  12416 S   0,0   0,0   0:00.04 virtlogd
   1249 root      20   0  102120   5376   4608 S   0,0   0,0   0:00.00 zed
   1260 avahi     20   0    8424   1288   1024 S   0,0   0,0   0:00.00 avahi-d+
   1288 syslog    20   0  222508   6144   4352 S   0,0   0,0   0:00.12 rsyslogd
   1829 root      20   0  341464  20912  16560 S   0,0   0,1   0:00.62 Network+
   1830 root      20   0   17380   6144   5376 S   0,0   0,0   0:00.02 wpa_sup+
   1856 root      20   0  318356  12352  10432 S   0,0   0,0   0:00.08 ModemMa+
   1979 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
   1987 root      20   0   40692  11776   9984 S   0,0   0,0   0:00.02 cupsd
   2000 root      20   0 2393548  48072  33920 S   0,0   0,1   0:01.70 contain+
   2020 colord    20   0  323132  14876  10012 S   0,0   0,0   0:00.13 colord
   2032 root      20   0   88056  20736  17792 S   0,0   0,1   0:00.12 winbindd
   2038 lp        20   0   16832   6784   5888 S   0,0   0,0   0:00.00 dbus
